ISSN,Título,Área de Avaliação,Estrato
1876-1038,REVIEWS ON RECENT CLINICAL TRIALS,MEDICINA I                                        ,A3
1984-3577,REVINTER,MEDICINA I                                        ,B4
1809-1741,REVISTA  ASSOCIAÇÃO MEDICA FLUMINENSE,MEDICINA I                                        ,B4
2596-0288,REVISTA ACERVO EDUCACIONAL,MEDICINA I                                        ,B2
2595-3125,REVISTA AGRÁRIA ACADÊMICA,MEDICINA I                                        ,B3
2318-0188,REVISTA AGROECOSSISTEMAS,MEDICINA I                                        ,A4
2238-8893,"REVISTA AMAZÔNIA, ORGANIZAÇÕES E SUSTENTABILIDADE",MEDICINA I                                        ,B1
2318-1419,REVISTA AMAZÔNIA SCIENCE & HEALTH,MEDICINA I                                        ,B2
0102-2105,REVISTA AMRIGS,MEDICINA I                                        ,B4
1888-7546,REVISTA ANDALUZA DE MEDICINA DEL DEPORTE,MEDICINA I                                        ,B2
2664-259X,REVISTA ANGOLANA DE CIÊNCIAS,MEDICINA I                                        ,A3
2684-0472,REVISTA ARGENTINA DE OFTALMOLOGÍA INFANTIL,MEDICINA I                                        ,C
2359-6880,REVISTA ARGUMENTUM,MEDICINA I                                        ,A2
2595-4407,REVISTA ARQUIVOS CIENTÍFICOS,MEDICINA I                                        ,B3
2596-1403,REVISTA ATENAS HIGEIA,MEDICINA I                                        ,B1
2178-8650,REVISTA BAIANA DE ENFERMAGEM,MEDICINA I                                        ,A4
0100-0233,REVISTA BAIANA DE SAÚDE PUBLICA,MEDICINA I                                        ,B2
2318-2660,REVISTA BAIANA DE SAÚDE PÚBLICA (ONLINE),MEDICINA I                                        ,B2
1983-8042,REVISTA BIOÉTICA (IMPRESSO),MEDICINA I                                        ,B1
1983-8034,REVISTA BIOÉTICA (ONLINE),MEDICINA I                                        ,B1
2525-555X,REVISTA BIOSAÚDE,MEDICINA I                                        ,B4
1980-9735,REVISTA BRASILEIRA DE AGROECOLOGIA,MEDICINA I                                        ,B1
2236-9724,REVISTA BRASILEIRA DE AGROPECUÁRIA SUSTENTÁVEL,MEDICINA I                                        ,B1
2448-3877,REVISTA BRASILEIRA DE ANÁLISES CLÍNICAS (ONLINE),MEDICINA I                                        ,B3
0034-7094,REVISTA BRASILEIRA DE ANESTESIOLOGIA (IMPRESSO),MEDICINA I                                        ,A3
2317-1634,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,MEDICINA I                                        ,B1
2763-5775,REVISTA BRASILEIRA DE AVALIAÇÃO,MEDICINA I                                        ,B4
1983-0823,REVISTA BRASILEIRA DE BIOMETRIA,MEDICINA I                                        ,B2
2176-9745,REVISTA BRASILEIRA DE CANCEROLOGIA,MEDICINA I                                        ,B1
2177-7772,REVISTA BRASILEIRA DE CARDIOLOGIA,MEDICINA I                                        ,C
0103-1716,REVISTA BRASILEIRA DE CIÊNCIA E MOVIMENTO,MEDICINA I                                        ,B3
1984-7130,REVISTA BRASILEIRA DE CIÊNCIA VETERINÁRIA,MEDICINA I                                        ,B2
1413-0130,REVISTA BRASILEIRA DE CIÊNCIA VETERINÁRIA (IMPRESSO),MEDICINA I                                        ,B2
2176-9478,REVISTA BRASILEIRA DE CIÊNCIAS AMBIENTAIS (IMPRESSA),MEDICINA I                                        ,A3
1415-2177,REVISTA BRASILEIRA DE CIÊNCIAS DA SAÚDE (JOÃO PESSOA),MEDICINA I                                        ,B3
1679-7930,REVISTA BRASILEIRA DE CIÊNCIAS DO ENVELHECIMENTO HUMANO (PRINT),MEDICINA I                                        ,B4
0101-3289,REVISTA BRASILEIRA DE CIÊNCIAS DO ESPORTE,MEDICINA I                                        ,B1
2179-3255,REVISTA BRASILEIRA DE CIÊNCIAS DO ESPORTE (ONLINE),MEDICINA I                                        ,B1
1980-0037,REVISTA BRASILEIRA DE CINEANTROPOMETRIA E DESEMPENHO HUMANO,MEDICINA I                                        ,B1
0102-7638,REVISTA BRASILEIRA DE CIRURGIA CARDIOVASCULAR (IMPRESSO),MEDICINA I                                        ,A3
1983-5175,REVISTA BRASILEIRA DE CIRURGIA PLÁSTICA,MEDICINA I                                        ,B3
2177-1235,REVISTA BRASILEIRA DE CIRURGIA PLÁSTICA (ONLINE),MEDICINA I                                        ,B3
2237-9223,REVISTA BRASILEIRA DE CRIMINALISTICA,MEDICINA I                                        ,A2
2594-4932,REVISTA BRASILEIRA DE DIREITO CIVIL (IMPRESSO),MEDICINA I                                        ,A2
2358-2391,REVISTA BRASILEIRA DE EDUCAÇÃO E SAÚDE,MEDICINA I                                        ,B4
1981-4690,REVISTA BRASILEIRA DE EDUCACAO FISICA E ESPORTE,MEDICINA I                                        ,B2
0100-5502,REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (IMPRESSO),MEDICINA I                                        ,A1
1981-5271,REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (ONLINE),MEDICINA I                                        ,A1
0034-7167,REVISTA BRASILEIRA DE ENFERMAGEM,MEDICINA I                                        ,A2
1984-0446,REVISTA BRASILEIRA DE ENFERMAGEM,MEDICINA I                                        ,A2
0102-4744,REVISTA BRASILEIRA DE ENSINO DE FÍSICA,MEDICINA I                                        ,A4
1980-5497,REVISTA BRASILEIRA DE EPIDEMIOLOGIA,MEDICINA I                                        ,A2
1415-790X,REVISTA BRASILEIRA DE EPIDEMIOLOGIA (IMPRESSO),MEDICINA I                                        ,A2
1980-5519,REVISTA BRASILEIRA DE ESTUDOS DE POPULAÇÃO ? REBEP,MEDICINA I                                        ,A1
2176-6681,REVISTA BRASILEIRA DE ESTUDOS PEDAGÓGICOS RBEP-INEP,MEDICINA I                                        ,A1
2358-0399,REVISTA BRASILEIRA DE EXTENSÃO UNIVERSITÁRIA,MEDICINA I                                        ,A3
2316-7750,REVISTA BRASILEIRA DE FARMÁCIA HOSPITALAR E SERVIÇOS DE SAÚDE,MEDICINA I                                        ,C
1981-528X,REVISTA BRASILEIRA DE FARMACOGNOSIA,MEDICINA I                                        ,A3
2176-8978,REVISTA BRASILEIRA DE FÍSICA MÉDICA (IMPRESSO),MEDICINA I                                        ,B3
1984-9001,REVISTA BRASILEIRA DE FÍSICA MÉDICA (ONLINE),MEDICINA I                                        ,B3
1677-8510,REVISTA BRASILEIRA DE FISIOLOGIA DO EXERCÍCIO,MEDICINA I                                        ,B2
2675-1372,REVISTA BRASILEIRA DE FISIOLOGIA DO EXERCÍCIO (ONLINE),MEDICINA I                                        ,B2
1981-2256,REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA,MEDICINA I                                        ,A3
1809-9823,REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA (UNATI. IMPRESSO),MEDICINA I                                        ,A3
2359-1412,REVISTA BRASILEIRA DE GESTÃO AMBIENTAL E SUSTENTABILIDADE,MEDICINA I                                        ,B2
1806-9339,REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRÍCIA,MEDICINA I                                        ,A4
0100-7203,REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRÍCIA (IMPRESSO),MEDICINA I                                        ,A4
1806-0870,REVISTA BRASILEIRA DE HEMATOLOGIA E HEMOTERAPIA (ONLINE),MEDICINA I                                        ,A4
1519-7522,REVISTA BRASILEIRA DE HIPERTENSÃO,MEDICINA I                                        ,B4
1809-5909,REVISTA BRASILEIRA DE MEDICINA DE FAMÍLIA E COMUNIDADE (IMPRESSO),MEDICINA I                                        ,B2
2179-7994,REVISTA BRASILEIRA DE MEDICINA DE FAMÍLIA E COMUNIDADE (ONLINE),MEDICINA I                                        ,B2
1517-8692,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO),MEDICINA I                                        ,B2
1806-9940,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),MEDICINA I                                        ,B2
2447-0147,REVISTA BRASILEIRA DE MEDICINA DO TRABALHO,MEDICINA I                                        ,B1
1679-4435,REVISTA BRASILEIRA DE MEDICINA DO TRABALHO,MEDICINA I                                        ,B1
0100-2430,REVISTA BRASILEIRA DE MEDICINA VETERINÁRIA,MEDICINA I                                        ,B2
2763-6763,REVISTA BRASILEIRA DE MEIO AMBIENTE & SUSTENTABILIDADE,MEDICINA I                                        ,B2
2447-2573,REVISTA BRASILEIRA DE NEUROLOGIA,MEDICINA I                                        ,B3
1414-0365,REVISTA BRASILEIRA DE NEUROLOGIA E PSIQUIATRIA,MEDICINA I                                        ,B4
1981-9927,REVISTA BRASILEIRA DE NUTRIÇÃO ESPORTIVA,MEDICINA I                                        ,B2
1981-9919,"REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO",MEDICINA I                                        ,B2
0034-7280,REVISTA BRASILEIRA DE OFTALMOLOGIA (IMPRESSO),MEDICINA I                                        ,B4
1806-6054,REVISTA BRASILEIRA DE ONCOLOGIA CLÍNICA,MEDICINA I                                        ,B4
2255-4971,REVISTA BRASILEIRA DE ORTOPEDIA,MEDICINA I                                        ,B1
0102-3616,REVISTA BRASILEIRA DE ORTOPEDIA (IMPRESSO),MEDICINA I                                        ,B1
0103-846X,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINÁRIA (IMPRESSO),MEDICINA I                                        ,A2
1984-2961,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINÁRIA (ONLINE),MEDICINA I                                        ,A2
2237-4574,REVISTA BRASILEIRA DE PATOLOGIA DO TRATO GENITAL INFERIOR,MEDICINA I                                        ,B4
2446-5577,REVISTA BRASILEIRA DE PESQUISA EM CIÊNCIAS DA SAÚDE,MEDICINA I                                        ,B2
1984-2686,REVISTA BRASILEIRA DE PESQUISA EM EDUCAÇÃO EM CIÊNCIAS,MEDICINA I                                        ,A1
2175-3946,REVISTA BRASILEIRA DE PESQUISA EM SAÚDE,MEDICINA I                                        ,B3
1983-084X,REVISTA BRASILEIRA DE PLANTAS MEDICINAIS,MEDICINA I                                        ,B3
1516-0572,REVISTA BRASILEIRA DE PLANTAS MEDICINAIS (IMPRESSO),MEDICINA I                                        ,B3
2763-9568,REVISTA BRASILEIRA DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE,MEDICINA I                                        ,B3
1981-9900,REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO,MEDICINA I                                        ,B2
2318-0404,REVISTA BRASILEIRA DE PSICOTERAPIA,MEDICINA I                                        ,B1
1809-452X,REVISTA BRASILEIRA DE PSIQUIATRIA,MEDICINA I                                        ,A2
1516-4446,REVISTA BRASILEIRA DE PSIQUIATRIA (SÃO PAULO. 1999. IMPRESSO),MEDICINA I                                        ,A2
2175-0858,REVISTA BRASILEIRA DE QUALIDADE DE VIDA,MEDICINA I                                        ,B3
1982-1883,REVISTA BRASILEIRA DE QUEIMADURAS,MEDICINA I                                        ,B4
2358-8691,REVISTA BRASILEIRA DE SAÚDE FUNCIONAL – REBRASF,MEDICINA I                                        ,B4
1806-9304,REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL,MEDICINA I                                        ,A4
1519-3829,REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL (IMPRESSO),MEDICINA I                                        ,A4
0303-7657,REVISTA BRASILEIRA DE SAÚDE OCUPACIONAL,MEDICINA I                                        ,B1
2317-6369,REVISTA BRASILEIRA DE SAÚDE OCUPACIONAL,MEDICINA I                                        ,B1
1982-3541,REVISTA BRASILEIRA DE TERAPIA COMPORTAMENTAL E COGNITIVA (ONLINE),MEDICINA I                                        ,A4
1982-4335,REVISTA BRASILEIRA DE TERAPIA INTENSIVA,MEDICINA I                                        ,A4
0103-507X,REVISTA BRASILEIRA DE TERAPIA INTENSIVA (IMPRESSO),MEDICINA I                                        ,A4
1808-5687,REVISTA BRASILEIRA DE TERAPIAS COGNITIVAS (IMPRESSO),MEDICINA I                                        ,A4
2177-9910,REVISTA BRASILEIRA DE TERAPIAS E SAÚDE,MEDICINA I                                        ,B4
1806-9290,REVISTA BRASILEIRA DE ZOOTECNIA,MEDICINA I                                        ,A3
1806-1230,REVISTA BRASILEIRA EM PROMOÇÃO DA SAÚDE (ONLINE),MEDICINA I                                        ,B2
2527-2675,REVISTA BRASILEIRA MULTIDISCIPLINAR. REBRAM (ONLINE),MEDICINA I                                        ,A3
2236-5117,REVISTA BRASÍLIA MÉDICA,MEDICINA I                                        ,B3
1519-4108,REVISTA BRASINDOOR,MEDICINA I                                        ,C
1983-2125,REVISTA CAATINGA (ONLINE),MEDICINA I                                        ,A3
1808-7329,REVISTA CADERNOS ESP,MEDICINA I                                        ,B3
1679-7027,REVISTA CAPITAL ABERTO,MEDICINA I                                        ,C
2254-7630,REVISTA CARIBEÑA DE CIENCIAS SOCIALES,MEDICINA I                                        ,C
1982-0216,REVISTA CEFAC (ONLINE),MEDICINA I                                        ,B1
2175-7275,REVISTA CEREUS,MEDICINA I                                        ,A3
2176-9176,REVISTA CESUMAR CIÊNCIAS HUMANAS E SOCIAIS APLICADAS,MEDICINA I                                        ,B3
0716-4491,REVISTA CHILENA DE NEUROCIRUGÍA,MEDICINA I                                        ,B3
2452-5553,REVISTA CHILENA DE NEUROCIRUGÍA,MEDICINA I                                        ,B3
0717-7518,REVISTA CHILENA DE NUTRICION,MEDICINA I                                        ,B2
2176-4565,REVISTA CIATEC-UPF,MEDICINA I                                        ,B4
2179-460X,REVISTA CIÊNCIA E NATURA,MEDICINA I                                        ,B1
1679-4605,REVISTA CIÊNCIA EM EXTENSÃO,MEDICINA I                                        ,B2
2446-7286,REVISTA CIÊNCIA PLURAL,MEDICINA I                                        ,B3
2176-1477,REVISTA CIÊNCIAS & IDÉIAS,MEDICINA I                                        ,A3
2965-6060,REVISTA CIÊNCIAS DA SAÚDE CEUMA (ONLINE),MEDICINA I                                        ,B3
2527-0214,REVISTA CIÊNCIAS E ODONTOLOGIA,MEDICINA I                                        ,B3
2236-3785,REVISTA CIÊNCIAS EM SAÚDE,MEDICINA I                                        ,B3
1677-5090,REVISTA CIÊNCIAS MÉDICAS E BIOLÓGICAS,MEDICINA I                                        ,B1
0124-2253,REVISTA CIENTÍFICA,MEDICINA I                                        ,A2
2763-8928,REVISTA CIENTÍFICA ACERTTE,MEDICINA I                                        ,C
2447-3405,"REVISTA CIENTÍFICA DA ESCOLA ESTADUAL DE SAÚDE PÚBLICA DE GOIÁS ""CÂNDIDO SANTIAGO""- RESAP",MEDICINA I                                        ,B4
2179-4200,REVISTA CIENTÍFICA DA FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE,MEDICINA I                                        ,B3
1980-7813,REVISTA CIENTÍFICA DA FACULDADE DE MEDICINA DE CAMPOS,MEDICINA I                                        ,C
1807-6912,REVISTA CIENTÍFICA DA FAMINAS,MEDICINA I                                        ,C
2675-7257,REVISTA CIENTÍFICA DE ESTÉTICA E COSMETOLOGIA,MEDICINA I                                        ,B4
1518-5249,REVISTA CIENTÍFICA DO CRO-RJ,MEDICINA I                                        ,B4
1679-7353,REVISTA CIENTÍFICA ELETRÔNICA DE MEDICINA VETERINÁRIA,MEDICINA I                                        ,B1
2525-5045,REVISTA CIENTÍFICA FAGOC - SAÚDE,MEDICINA I                                        ,B1
2359-4632,REVISTA CIENTIFICA INTEGRADA UNAERP CAMPUS GUARUJÁ,MEDICINA I                                        ,B2
2448-0959,REVISTA CIENTÍFICA MULTIDISCIPLINAR NÚCLEO DO CONHECIMENTO,MEDICINA I                                        ,C
2709-2151,REVISTA CIENTÍFICA SEARCHING DE CIENCIAS HUMANAS Y SOCIALES,MEDICINA I                                        ,A2
2359-0327,REVISTA CIF BRASIL,MEDICINA I                                        ,B4
2318-9509,REVISTA CIPERJ,MEDICINA I                                        ,B4
0014-2565,REVISTA CLÍNICA ESPAÑOLA (ED. IMPRESA),MEDICINA I                                        ,B1
2254-8874,REVISTA CLÍNICA ESPAÑOLA (ENGLISH EDITION) (ONLINE),MEDICINA I                                        ,B2
1909-6356,REVISTA COLOMBIANA DE CIENCIAS QUIMICO FARMACEUTICAS,MEDICINA I                                        ,B3
0120-9957,REVISTA COLOMBIANA DE GASTROENTEROLOGIA,MEDICINA I                                        ,B3
2500-5006,REVISTA COLOMBIANA DE NEFROLOGIA (ONLINE),MEDICINA I                                        ,B4
0120-8845,REVISTA COLOMBIANA DE ORTOPEDIA Y TRAUMATOLOGIA,MEDICINA I                                        ,B3
0034-7450,REVISTA COLOMBIANA DE PSIQUIATRIA,MEDICINA I                                        ,A1
2965-0992,REVISTA CONCEPÇÃO,MEDICINA I                                        ,B4
1807-1821,REVISTA CONTEMPORÂNEA DE CONTABILIDADE (UFSC),MEDICINA I                                        ,A3
2176-7114,REVISTA CONTEXTO & SAÚDE (ONLINE),MEDICINA I                                        ,A4
2177-5052,REVISTA COOPEX,MEDICINA I                                        ,B3
2178-7514,REVISTA CPAQV,MEDICINA I                                        ,B3
0257-4314,REVISTA CUBANA DE EDUCACIÓN SUPERIOR,MEDICINA I                                        ,B3
1561-297X,REVISTA CUBANA DE ESTOMATOLOGIA,MEDICINA I                                        ,B4
0864-0289,"REVISTA CUBANA DE HEMATOLOGÍA, IMMUNOLOGÍA Y HEMOTERAPIA",MEDICINA I                                        ,B4
2307-2113,REVISTA CUBANA DE INFORMACIÓN EN CIENCIAS DE LA SALUD,MEDICINA I                                        ,A3
2216-0973,REVISTA CUIDARTE,MEDICINA I                                        ,A3
2358-033X,REVISTA DA ABEM,MEDICINA I                                        ,A1
2595-0274,REVISTA DA ABENO,MEDICINA I                                        ,B3
1679-5954,REVISTA DA ABENO,MEDICINA I                                        ,B3
2358-2480,REVISTA DA AJURIS - ASSOCIAÇÃO DOS JUÍZES DO RIO GRANDE DO SUL,MEDICINA I                                        ,A3
0004-5276,REVISTA DA APCD - ASSOCIAÇÃO PAULISTA DE CIRUGIÕES DENTISTAS,MEDICINA I                                        ,B3
1983-3164,REVISTA DA ASSOCIAÇÃO BRASILEIRA DE NUTRIÇÃO,MEDICINA I                                        ,B3
1806-9282,REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA,MEDICINA I                                        ,A3
0104-4230,REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA,MEDICINA I                                        ,A3
2965-0682,REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA: JUNIOR DOCTORS - RAMB (ONLINE),MEDICINA I                                        ,B2
1983-3083,REVISTA DA EDUCAÇÃO FÍSICA (UEM. ONLINE),MEDICINA I                                        ,B1
0080-6234,REVISTA DA ESCOLA DE ENFERMAGEM DA USP,MEDICINA I                                        ,A3
1980-220X,REVISTA DA ESCOLA DE ENFERMAGEM DA USP (ONLINE),MEDICINA I                                        ,A3
2238-0167,REVISTA DA EXTENSÃO DA UFRGS,MEDICINA I                                        ,B2
1984-4840,REVISTA DA FACULDADE DE CIENCIAS MEDICAS DE SOROCABA,MEDICINA I                                        ,A4
1517-8242,REVISTA DA FACULDADE DE CIÊNCIAS MÉDICAS DE SOROCABA (IMPRESSO),MEDICINA I                                        ,A4
0101-8418,REVISTA DA FACULDADE DE ODONTOLOGIA DA UNIVERSIDADE FEDERAL DA BAHIA,MEDICINA I                                        ,B4
0566-1854,REVISTA DA FACULDADE DE ODONTOLOGIA DE PORTO ALEGRE,MEDICINA I                                        ,B3
2318-7999,REVISTA DA FACULDADE MINEIRA DE DIREITO,MEDICINA I                                        ,A2
2764-6289,REVISTA DA FACULDADE PAULO PICANÇO,MEDICINA I                                        ,C
2595-4644,REVISTA DA SOCESP,MEDICINA I                                        ,B4
1415-6725,REVISTA DA SOCIEDADE BRASILEIRA DE CANCEROLOGIA,MEDICINA I                                        ,B4
2525-2933,REVISTA DA SOCIEDADE BRASILEIRA DE CLÍNICA MÉDICA,MEDICINA I                                        ,B3
1679-1010,REVISTA DA SOCIEDADE BRASILEIRA DE CLÍNICA MÉDICA,MEDICINA I                                        ,B3
0037-8682,REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO),MEDICINA I                                        ,A4
1678-040X,REVISTA DA SOCIEDADE CEARENSE DE CARDIOLOGIA,MEDICINA I                                        ,C
0103-8559,REVISTA DA SOCIEDADE DE CARDIOLOGIA DO ESTADO DE SAO PAULO,MEDICINA I                                        ,B4
0871-6099,REVISTA DA SOCIEDADE PORTUGUESA DE ANESTESIOLOGIA,MEDICINA I                                        ,B4
2182-2395,REVISTA DA SOCIEDADE PORTUGUESA DE DERMATOLOGIA E VENEREOLOGIA,MEDICINA I                                        ,B3
1677-2970,REVISTA DA SPAGESP,MEDICINA I                                        ,A4
2316-770X,REVISTA DA UFMG,MEDICINA I                                        ,A4
2175-2567,REVISTA DA UNIFA,MEDICINA I                                        ,B1
2526-3528,REVISTA DE ADMINISTRAÇÃO EM SAÚDE (ONLINE),MEDICINA I                                        ,B3
1678-9857,REVISTA DE ANTROPOLOGIA,MEDICINA I                                        ,A1
1516-7704,REVISTA DE APS (IMPRESSO),MEDICINA I                                        ,B2
1809-8363,REVISTA DE APS (ONLINE),MEDICINA I                                        ,B2
2359-4330,REVISTA DE ATENÇÃO À SAÚDE,MEDICINA I                                        ,B3
2215-2075,REVISTA DE BIOLOGIA TROPICAL,MEDICINA I                                        ,A4
0034-7744,REVISTA DE BIOLOGIA TROPICAL,MEDICINA I                                        ,A4
2358-4610,REVISTA DE CIÊNCIA VETERINÁRIA E SAÚDE PÚBLICA,MEDICINA I                                        ,B4
2238-1171,REVISTA DE CIÊNCIAS AGROVETERINÁRIAS,MEDICINA I                                        ,B1
1518-4595,REVISTA DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE (NOVA IGUAÇU),MEDICINA I                                        ,B4
2595-8380,REVISTA DE CIÊNCIAS DA SAÚDE BÁSICA E APLICADA,MEDICINA I                                        ,C
1808-4532,REVISTA DE CIÊNCIAS FARMACÊUTICAS BÁSICA E APLICADA,MEDICINA I                                        ,B2
2179-443X,REVISTA DE CIÊNCIAS FARMACÊUTICAS BÁSICA E APLICADA,MEDICINA I                                        ,B2
2236-5222,REVISTA DE CIÊNCIAS MÉDICAS E BIOLÓGICAS,MEDICINA I                                        ,B1
2452-4549,REVISTA DE CIRUGÍA (ONLINE),MEDICINA I                                        ,B3
2596-3163,REVISTA DE DIREITO E MEDICINA,MEDICINA I                                        ,B2
2179-0981,REVISTA DE DIVULGAÇÃO CIENTÍFICA SENA AIRES,MEDICINA I                                        ,B1
2238-2380,"REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA",MEDICINA I                                        ,A4
2447-8946,REVISTA DE EDUCAÇÃO FÍSICA,MEDICINA I                                        ,B3
0102-8464,REVISTA DE EDUCAÇÃO FÍSICA,MEDICINA I                                        ,B3
1982-7660,REVISTA DE EDUCAÇÃO POPULAR,MEDICINA I                                        ,A3
2318-0870,REVISTA DE EDUCAÇÃO PUC-CAMPINAS,MEDICINA I                                        ,A1
0034-8082,REVISTA DE EDUCACIÓN,MEDICINA I                                        ,C
2446-5739,REVISTA DE ENFERMAGEM DA UFJF,MEDICINA I                                        ,B3
2238-7234,REVISTA DE ENFERMAGEM DA UFPI,MEDICINA I                                        ,B2
2179-7692,REVISTA DE ENFERMAGEM DA UFSM,MEDICINA I                                        ,B1
2236-6091,REVISTA DE ENFERMAGEM DO CENTRO OESTE MINEIRO,MEDICINA I                                        ,B1
2317-1154,REVISTA DE ENFERMAGEM E ATENÇÃO À SAÚDE,MEDICINA I                                        ,B2
1981-8963,REVISTA DE ENFERMAGEM UFPE,MEDICINA I                                        ,B1
2675-9683,"REVISTA DE ENSINO, CIÊNCIA E INOVAÇÃO EM SAÚDE",MEDICINA I                                        ,B4
1982-1867,REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA (SBENBIO),MEDICINA I                                        ,A1
2763-8898,REVISTA DE ENSINO DE BIOLOGIA SBENBIO,MEDICINA I                                        ,A1
2318-8790,REVISTA DE ENSINO DE BIOQUÍMICA,MEDICINA I                                        ,B3
2238-3360,REVISTA DE EPIDEMIOLOGIA E CONTROLE DE INFECÇÃO,MEDICINA I                                        ,B2
2965-3827,REVISTA DE EPIDEMIOLOGIA E SAÚDE PÚBLICA,MEDICINA I                                        ,B4
2386-4540,REVISTA DE ESTUDIOS BRASILEÑOS,MEDICINA I                                        ,A3
2386-7418,REVISTA DE ESTUDIOS E INVESTIGACION EN PSICOLOGIA Y EDUCACIÓN,MEDICINA I                                        ,A2
1983-1501,REVISTA DE ESTUDOS AMBIENTAIS (ONLINE),MEDICINA I                                        ,B1
2675-2328,REVISTA DE EXTENSÃO DA UPE,MEDICINA I                                        ,B1
0375-0906,REVISTA DE GASTROENTEROLOGIA DE MEXICO,MEDICINA I                                        ,B2
1022-5129,REVISTA DE GASTROENTEROLOGÍA DEL PERÚ (IMPRESA),MEDICINA I                                        ,B3
2255-534X,REVISTA DE GASTROENTEROLOGIA DO MÉXICO,MEDICINA I                                        ,B2
2178-9010,REVISTA DE GESTÃO E SECRETARIADO,MEDICINA I                                        ,C
1981-982X,REVISTA DE GESTÃO SOCIAL E AMBIENTAL (RGSA),MEDICINA I                                        ,C
2675-7427,"REVISTA DE INSTRUMENTOS, MODELOS E POLÍTICAS EM AVALIAÇÃO EDUCACIONAL",MEDICINA I                                        ,A4
2184-3791,REVISTA DE INVESTIGAÇÃO & INOVAÇÃO EM SAÚDE,MEDICINA I                                        ,B2
0034-8376,REVISTA DE INVESTIGACIÓN CLÍNICA,MEDICINA I                                        ,A3
2447-6595,REVISTA DE MEDICINA DA UFC (ONLINE),MEDICINA I                                        ,B3
1679-9836,REVISTA DE MEDICINA (SÃO PAULO. ONLINE),MEDICINA I                                        ,B2
0034-8554,REVISTA DE MEDICINA (USP),MEDICINA I                                        ,B2
0104-3579,REVISTA DE NEUROCIÊNCIAS,MEDICINA I                                        ,B2
0210-0010,REVISTA DE NEUROLOGÍA (ED. IMPRESA),MEDICINA I                                        ,B2
1415-5273,REVISTA DE NUTRICAO- BRAZILIAN JOURNAL OF NUTRITION,MEDICINA I                                        ,B1
2357-9617,REVISTA DE NUTRIÇÃO E VIGILÂNCIA EM SAÚDE / JOURNAL OF NUTRITION AND HEALTH SURVEILLANCE,MEDICINA I                                        ,B2
1678-9865,REVISTA DE NUTRIÇÃO-BRAZILIAN JOURNAL OF NUTRTION,MEDICINA I                                        ,B1
1807-2577,REVISTA DE ODONTOLOGIA DA UNESP (ONLINE),MEDICINA I                                        ,B3
2446-6492,REVISTA DE PATOLOGIA DO TOCANTINS,MEDICINA I                                        ,B3
1980-8178,REVISTA DE PATOLOGIA TROPICAL (ONLINE),MEDICINA I                                        ,B3
2595-1769,REVISTA DE PEDIATRIA DA SOPERJ (ON-LINE),MEDICINA I                                        ,B3
1676-1014,REVISTA DE PEDIATRIA SOPERJ,MEDICINA I                                        ,B3
2175-5361,REVISTA DE PESQUISA: CUIDADO E FUNDAMENTAL (ONLINE),MEDICINA I                                        ,A4
2236-6288,REVISTA DE PESQUISA EM SAÚDE,MEDICINA I                                        ,B4
1980-6906,REVISTA DE PSICOLOGIA : TEORIA E PRÁTICA (ONLINE),MEDICINA I                                        ,A2
1888-9891,REVISTA DE PSIQUIATRÍA Y SALUD MENTAL (BARCELONA. ED. IMPRESA),MEDICINA I                                        ,A1
1577-9572,REVISTA DE SALUD AMBIENTAL,MEDICINA I                                        ,B3
2179-2739,REVISTA DE SAÚDE,MEDICINA I                                        ,B4
2594-7524,REVISTA DE SAÚDE COLETIVA DA UEFS,MEDICINA I                                        ,B3
1677-7522,REVISTA DE SAÚDE COLETIVA DA UEFS,MEDICINA I                                        ,B3
2525-9563,REVISTA DE SAÚDE DIGITAL E TECNOLOGIAS EDUCACIONAIS,MEDICINA I                                        ,B4
